area_type,location,size,society,sqrft,bathroom,facing,price_fin
Builtup,3 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,3 BHK,3 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,1630 sqft,3,East,5.64 Crores
Builtup,1 BHK Flat  In Mahendra Mansion Building For Sale  In Dadar West,1 BHK,1 BHK Flat  In Mahendra Mansion Building For Sale  In Dadar West,687 sqft,1,East,2 Crores
Builtup,1 BHK Flat  In Emerald Residency For Sale  In Dadar West,1 BHK,1 BHK Flat  In Emerald Residency For Sale  In Dadar West,535 sqft,1,North-East,2.1 Crores
Builtup,1 BHK Flat  In Suraj Park View For Sale  In Dadar West,1 BHK,1 BHK Flat  In Suraj Park View For Sale  In Dadar West,529 sqft,1,East,2.05 Crores
Builtup,1 BHK Flat  In Sahajeevan Co-op Hsg Soc For Sale  In Dadar West,1 BHK,1 BHK Flat  In Sahajeevan Co-op Hsg Soc For Sale  In Dadar West,620 sqft,1,East,2.25 Crores
Builtup,"2 BHK Flat  In Om Siddhivinayak Chs For Sale  In Mahim West, Mahim",2 BHK,"2 BHK Flat  In Om Siddhivinayak Chs For Sale  In Mahim West, Mahim",900 sqft,2,West,3.4 Crores
Builtup,2 BHK Flat  In Vishal Chs  For Sale  In Dadar West,2 BHK,2 BHK Flat  In Vishal Chs  For Sale  In Dadar West,1218 sqft,2,East,2.95 Crores
Builtup,2 BHK Flat  In Dharti Co-op Hsg. Society For Sale  In Parel East,2 BHK,2 BHK Flat  In Dharti Co-op Hsg. Society For Sale  In Parel East,750 sqft,2,Don''t Know,1.55 Crores
Builtup,2 BHK Apartment  In Landmark Towers For Sale  In Dadar East,2 BHK,2 BHK Apartment  In Landmark Towers For Sale  In Dadar East,990 sqft,2,East,2.82 Crores
Builtup,2 BHK Apartment  In Horizon Tower For Sale  In Dadar West,2 BHK,2 BHK Apartment  In Horizon Tower For Sale  In Dadar West,1200 sqft,2,South,4.95 Crores
Builtup,2 BHK Flat  In Silver Grill For Sale  In Dadar West,2 BHK,2 BHK Flat  In Silver Grill For Sale  In Dadar West,763 sqft,1,East,2.9 Crores
Builtup,2 BHK Flat  In Suraj Park View For Sale  In Dadar West,2 BHK,2 BHK Flat  In Suraj Park View For Sale  In Dadar West,784 sqft,2,North,2.96 Crores
Builtup,2 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,2 BHK,2 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,1089 sqft,2,East,3.65 Crores
Builtup,4 BHK Flat  In Rahul Apartmwnt For Sale  In Dadar,4 BHK,4 BHK Flat  In Rahul Apartmwnt For Sale  In Dadar,1750 sqft,3,Don''t Know,4.6 Crores
Builtup,4 BHK Flat  In Gurukrupa Building For Sale  In Dadar East,4 BHK,4 BHK Flat  In Gurukrupa Building For Sale  In Dadar East,1500 sqft,4,Don''t Know,6 Crores
Builtup,3 BHK Flat  In R A Residence For Sale  In Dadar,3 BHK,3 BHK Flat  In R A Residence For Sale  In Dadar,2850 sqft,4,East,8.78 Crores
Builtup,3 BHK Apartment  In Inder Tower For Sale  In Dadar West,3 BHK,3 BHK Apartment  In Inder Tower For Sale  In Dadar West,1156 sqft,2,Don''t Know,4.5 Crores
Builtup,3 BHK Apartment  In Supreme Melang For Sale  In Dadar East,3 BHK,3 BHK Apartment  In Supreme Melang For Sale  In Dadar East,1500 sqft,3,West,6.1 Crores
Builtup,"3 BHK Apartment  In Vva Vision Eternity For Sale  In , Dadar West,",3 BHK,"3 BHK Apartment  In Vva Vision Eternity For Sale  In , Dadar West,",1150 sqft,3,East,5.5 Crores
